agent,traffic,metric,mean_on,mean_off,mean_lift,fail_to_pass_tokens,fail_to_pass_rate,off_fail_rate,on_fail_rate
stop,reactive,time_to_collision_within_bound,0.7744113288325375,0.6707558043800428,0.10365552445249465,1259,0.10365552445249465,0.3292441956199572,0.22558867116746253
stop,reactive,traffic_light_compliance,0.9251605466820353,0.8708216696854931,0.05433887699654207,660,0.05433887699654207,0.12917833031450685,0.07483945331796477
pdm_closed,reactive,drivable_area_compliance,0.9998353367363741,0.002140622427136506,0.9976947143092376,12118,0.9976947143092376,0.9978593775728635,0.00016466326362588507
pdm_closed,reactive,driving_direction_compliance,0.9999176683681871,0.002346451506668862,0.9975712168615182,12115,0.9974477194137987,0.9975300510456118,8.233163181294254e-05
pdm_closed,reactive,ego_progress,0.9997127470265443,0.999679149765449,3.359726109522462e-05,0,0.0,0.0,0.0
pdm_closed,reactive,history_comfort,0.0007409846863164828,0.0007409846863164828,0.0,0,0.0,0.9992590153136836,0.9992590153136836
pdm_closed,reactive,lane_keeping,0.9988473571546188,0.0034579285361435864,0.9953894286184752,12090,0.9953894286184752,0.9965420714638564,0.0011526428453811955
pdm_closed,reactive,no_at_fault_collisions,0.8455870245348263,0.7652725177013009,0.08031450683352544,1066,0.08776551951259674,0.22015478346780834,0.14202206487732588
pdm_closed,reactive,time_to_collision_within_bound,0.8197760579614688,0.7241067017948296,0.09566935616663923,1272,0.1047258356660629,0.27589329820517045,0.1802239420385312
pdm_closed,reactive,traffic_light_compliance,0.948460398485098,0.9015313683517208,0.04692903013337724,592,0.04874032603326198,0.09846863164827926,0.05153960151490203
human_replay,reactive,drivable_area_compliance,1.0,0.00016466326362588507,0.9998353367363741,12144,0.9998353367363741,0.9998353367363741,0.0
human_replay,reactive,driving_direction_compliance,1.0,0.00020582907953235632,0.9997941709204676,12143,0.9997530051045612,0.9997530051045612,0.0
human_replay,reactive,ego_progress,0.9995060102091223,0.9995883418409353,-8.233163181294254e-05,1,8.233163181294254e-05,0.00041165815906471265,0.0004939897908776552
human_replay,reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
human_replay,reactive,lane_keeping,0.9990943520500576,0.001234974477194138,0.9978593775728635,12120,0.9978593775728635,0.9987650255228059,0.0009056479499423678
human_replay,reactive,no_at_fault_collisions,0.9007492178494978,0.8136011855754981,0.08714803227399967,1097,0.09031780009879796,0.1775069981887041,0.09155277457599209
human_replay,reactive,time_to_collision_within_bound,0.8879466491025853,0.7895603490861189,0.09838630001646632,1258,0.10357319282068171,0.21043965091388112,0.11205335089741479
human_replay,reactive,traffic_light_compliance,0.9682199901202042,0.9244195619957187,0.043800428124485424,549,0.04520006586530545,0.07558043800428124,0.03178000987979582
ignore_all,non_reactive,drivable_area_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
ignore_all,non_reactive,driving_direction_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
ignore_all,non_reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
ignore_all,non_reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
ignore_all,non_reactive,lane_keeping,0.9992590153136836,8.233163181294254e-05,0.9991766836818706,12136,0.9991766836818706,0.9999176683681871,0.0007409846863164828
ignore_all,non_reactive,no_at_fault_collisions,0.9522064877325869,0.9266425160546682,0.025563971677918657,304,0.02502881607113453,0.0689115758274329,0.04388275975629837
ignore_all,non_reactive,time_to_collision_within_bound,0.9416268730446238,0.9118228223283386,0.029804050716285196,362,0.029804050716285196,0.08817717767166146,0.058373126955376255
ignore_all,non_reactive,traffic_light_compliance,0.9771118063560019,0.9524123168121192,0.02469948954388276,300,0.02469948954388276,0.047587683187880786,0.022888193643998023
constant_velocity,non_reactive,drivable_area_compliance,0.9997530051045612,0.0104561172402437,0.9892968878643175,12016,0.9892968878643175,0.9895438827597562,0.0002469948954388276
constant_velocity,non_reactive,driving_direction_compliance,0.9997530051045612,0.010332619792524287,0.9894203853120369,12016,0.9892968878643175,0.9895438827597562,0.0002469948954388276
constant_velocity,non_reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
constant_velocity,non_reactive,history_comfort,0.002634612218014161,0.002634612218014161,0.0,0,0.0,0.9973653877819858,0.9973653877819858
constant_velocity,non_reactive,lane_keeping,0.9988473571546188,0.018771612053350897,0.9800757451012679,11904,0.9800757451012679,0.9812283879466491,0.0011526428453811955
constant_velocity,non_reactive,no_at_fault_collisions,0.8827185904824634,0.8187880783797135,0.06393051210274987,771,0.0634776881277787,0.17355507986168286,0.11007739173390417
constant_velocity,non_reactive,time_to_collision_within_bound,0.8603655524452495,0.7837971348592129,0.07656841758603655,930,0.07656841758603655,0.2162028651407871,0.13963444755475055
constant_velocity,non_reactive,traffic_light_compliance,0.9603984850979747,0.9229375926230858,0.03746089247488885,455,0.03746089247488885,0.07706240737691421,0.03960151490202536
timid_creep,non_reactive,drivable_area_compliance,0.9999176683681871,0.0,0.9999176683681871,12145,0.9999176683681871,1.0,8.233163181294254e-05
timid_creep,non_reactive,driving_direction_compliance,0.9998353367363741,0.0,0.9998353367363741,12144,0.9998353367363741,1.0,0.00016466326362588507
timid_creep,non_reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,0,0.0,0.00016466326362588507,0.00016466326362588507
timid_creep,non_reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
timid_creep,non_reactive,lane_keeping,0.9991766836818706,0.0014819693726329656,0.9976947143092376,12118,0.9976947143092376,0.998518030627367,0.0008233163181294253
timid_creep,non_reactive,no_at_fault_collisions,0.8705746747900543,0.8076733080849663,0.0629013667050881,758,0.06240737691421044,0.18401119710192657,0.12160382018771612
timid_creep,non_reactive,time_to_collision_within_bound,0.8343487567923596,0.7586036555244525,0.07574510126790714,920,0.07574510126790714,0.2413963444755475,0.16565124320764038
timid_creep,non_reactive,traffic_light_compliance,0.936933970031286,0.8863000164663264,0.05063395356495966,615,0.05063395356495966,0.11369998353367364,0.06306602996871398
stop,non_reactive,drivable_area_compliance,1.0,0.13543553433229047,0.8645644656677095,10501,0.8645644656677095,0.8645644656677095,0.0
stop,non_reactive,driving_direction_compliance,1.0,0.1346533838300675,0.8653466161699325,10507,0.8650584554585872,0.8650584554585872,0.0
stop,non_reactive,ego_progress,0.9990252301543646,0.9993489061229066,-0.0003236759685419684,0,0.0,0.0,0.0
stop,non_reactive,history_comfort,0.11888687633788901,0.11888687633788901,0.0,0,0.0,0.881113123662111,0.881113123662111
stop,non_reactive,lane_keeping,0.9995060102091223,0.13173061090070806,0.8677753993084143,10540,0.8677753993084143,0.868269389099292,0.0004939897908776552
stop,non_reactive,no_at_fault_collisions,0.8067676601350239,0.7132389263955211,0.09352873373950271,1129,0.09295241231681212,0.2730940227235304,0.18014161040671825
stop,non_reactive,time_to_collision_within_bound,0.7619792524287832,0.6518195290630661,0.11015972336571711,1338,0.11015972336571711,0.348180470936934,0.23802074757121686
stop,non_reactive,traffic_light_compliance,0.9251605466820353,0.8708216696854931,0.05433887699654207,660,0.05433887699654207,0.12917833031450685,0.07483945331796477
pdm_closed,non_reactive,drivable_area_compliance,0.9998353367363741,0.0020582907953235635,0.9977770459410505,12119,0.9977770459410505,0.9979417092046764,0.00016466326362588507
pdm_closed,non_reactive,driving_direction_compliance,0.9999176683681871,0.0022229540589494483,0.9976947143092376,12117,0.9976123826774247,0.9976947143092376,8.233163181294254e-05
pdm_closed,non_reactive,ego_progress,0.9995911058555149,0.9996580828505706,-6.697699505566553e-05,0,0.0,8.233163181294254e-05,8.233163181294254e-05
pdm_closed,non_reactive,history_comfort,0.0007409846863164828,0.0007409846863164828,0.0,0,0.0,0.9992590153136836,0.9992590153136836
pdm_closed,non_reactive,lane_keeping,0.9988473571546188,0.003540260167956529,0.9953070969866623,12089,0.9953070969866623,0.9964597398320435,0.0011526428453811955
pdm_closed,non_reactive,no_at_fault_collisions,0.8383006751193809,0.7533344310884241,0.08496624403095669,1145,0.0942697184258192,0.23291618639881442,0.15017289642680717
pdm_closed,non_reactive,time_to_collision_within_bound,0.8105549151984193,0.7083813601185576,0.10217355507986169,1378,0.1134529886382348,0.29161863988144243,0.18944508480158076
pdm_closed,non_reactive,traffic_light_compliance,0.9482134035896591,0.902601679565289,0.045611724024370165,582,0.047917009715132554,0.09739832043471101,0.051786596410340856
human_replay,non_reactive,drivable_area_compliance,1.0,0.00016466326362588507,0.9998353367363741,12144,0.9998353367363741,0.9998353367363741,0.0
human_replay,non_reactive,driving_direction_compliance,1.0,0.00020582907953235632,0.9997941709204676,12143,0.9997530051045612,0.9997530051045612,0.0
human_replay,non_reactive,ego_progress,0.9998353367363741,0.9998353367363741,0.0,1,8.233163181294254e-05,0.00016466326362588507,0.00016466326362588507
human_replay,non_reactive,history_comfort,0.0,0.0,0.0,0,0.0,1.0,1.0
human_replay,non_reactive,lane_keeping,0.9990120204182447,0.0017289642680717932,0.9972830561501729,12113,0.9972830561501729,0.9982710357319282,0.0009879795817553103
human_replay,non_reactive,no_at_fault_collisions,0.8936275316976783,0.8035155606784127,0.0901119710192656,1170,0.09632800922114276,0.18788078379713485,0.09937427959822163
human_replay,non_reactive,time_to_collision_within_bound,0.8813601185575498,0.7780339206323069,0.10332619792524288,1336,0.10999506010209123,0.22196607936769308,0.11863988144245019
human_replay,non_reactive,traffic_light_compliance,0.9665733574839454,0.9248312201547835,0.04174213732916186,544,0.044788407706240735,0.07516877984521653,0.03342664251605467
